state_code,state_codes,kpi_column,stage_name_vi,owner_object,sla_target_min,warning_min,risk_min,apply_order_type,apply_support_type,apply_dispatch_type,count_in_sla_total,dashboard_card,active,notes
DRAFT,"DRAFT,WAITING_CONFIRM",TAO_DON,Tạo đơn / Tiếp nhận,CSKH,,,,ALL,ALL,ALL,Y,TIEP_NHAN,Y,Điền ngưỡng từ Google Sheet
WAITING_CONFIRM,"DRAFT,WAITING_CONFIRM",TAO_DON,Tạo đơn / Tiếp nhận,CSKH,,,,ALL,ALL,ALL,Y,TIEP_NHAN,Y,
CONFIRMED,CONFIRMED,XAC_NHAN,Xác nhận,CSKH,,,,ALL,ALL,ALL,Y,,Y,
WAITING_PROVIDER_ACCEPT,WAITING_PROVIDER_ACCEPT,DIEU_PHOI,Điều phối NCC,OSA,,,,ALL,ALL,ALL,Y,DIEU_PHOI,Y,
WAITING_DRIVER_ACCEPT,WAITING_DRIVER_ACCEPT,TAI_XE_TIEP_NHAN,Tài xế tiếp nhận,DRIVER,,,,ALL,ALL,ALL,Y,DIEU_PHOI,Y,
DRIVER_ON_THE_WAY,DRIVER_ON_THE_WAY,DI_CHUYEN_TOI_DIEM,Di chuyển tới điểm,DRIVER,,,,ALL,ALL,ALL,Y,DANG_CUU_HO,Y,
RESCUE_IN_PROGRESS,RESCUE_IN_PROGRESS,THUC_HIEN_CUU_HO,Thực hiện cứu hộ,DRIVER,,,,ALL,TAI_CHO,ALL,Y,DANG_CUU_HO,Y,
RESCUE_MOVE_TO_TOWING_POINT,RESCUE_MOVE_TO_TOWING_POINT,THOI_GIAN_KEO_XE,Kéo xe,DRIVER,,,,ALL,KEO_XE,ALL,Y,DANG_CUU_HO,Y,Chỉ đơn rescue_distance > 0
RESCUE_COMPLETED_BY_DRIVER,RESCUE_COMPLETED_BY_DRIVER,OSA_HOAN_THANH,OSA hoàn thành,OSA,,,,ALL,ALL,ALL,Y,,Y,
